nombre,nivel,tipo,escuela,clases,tiempo_de_lanzamiento,alcance,componentes,duracion,descripcion,stage,revision
Fuente de Luz Lunar,4,Nivel 4,Evocación,bardo; druida,Acción,Lanzador,"V, S","Concentración, hasta 10 minutos","Mientras dure el efecto, una luz fría envuelve tu cuerpo

y emite luz brillante en un radio de 6 m y luz tenue 6 m

más allá.

Hasta que el conjuro termine, tienes resistencia al daño

radiante y tus ataques cuerpo a cuerpo causarán 2d6 de

daño radiante adicional cuando acierten.

Además, inmediatamente después de recibir daño de

una criatura que puedas ver a 18 m o menos de ti, puedes

usar una reacción para obligar a la criatura a hacer una

tirada de salvación de Constitución. Si la falla, tendrá el

estado de cegada hasta el final de tu siguiente turno.",pendiente,
Fuerza Fantasmal,2,Nivel 2,Ilusionismo,bardo; hechicero; mago,Acción,18 m,"V, S, M (un poco de vellón)","Concentración, hasta 1 minuto","Intentas crear una ilusión en la mente de una criatura

que puedas ver dentro del alcance. El objetivo hace una

tirada de salvación de Inteligencia. Si la falla, creas un

objeto o una criatura fantasmal u otro fenómeno cuyas

dimensiones no excedan las de un cubo de 3 m de lado

y que solo puede percibir el objetivo hasta que el conjuro

termine. El fantasma puede emitir sonidos, alterar la

temperatura y producir otros estímulos.

El objetivo puede usar una acción de estudiar para

examinar la imagen con una prueba de Inteligencia

(Investigación) contra tu CD de salvación de conjuros.

Si la supera, se da cuenta de que el fantasma es una ilusión

y el conjuro termina.

Mientras esté afectado por este conjuro, el objetivo

tratará al fantasma como si fuera real y racionalizará

cualquier resultado ilógico derivado de interactuar con él.

Por ejemplo, si el objetivo intenta caminar por un puente

ilusorio y sobrevive a la caída, creerá que el puente existe

y que otra cosa ha provocado su caída.

Un objetivo afectado incluso puede recibir daño de la

ilusión si el fantasma se muestra como una amenaza o una

criatura peligrosa. En cada uno de tus turnos, la forma

fantasmal puede causar 2d8 de daño psíquico al objetivo

si está en el área que ocupa el fantasma o a 1,5 m de él.

El objetivo percibe el daño como de un tipo apropiado

para la ilusión.",pendiente,
Fundirse con la Piedra,3,Nivel 3,Transmutación,clérigo; druida; explorador,Acción o ritual,Toque,"V, S",8 horas,"Entras en un objeto o una superficie de piedra lo

suficientemente grande como para que tu cuerpo quepa

dentro y tanto tú como tu equipo os fundís con la piedra

hasta que termine el conjuro. Para ello, debes tocar la

piedra. No queda nada de tu presencia visible ni que se

pueda detectar mediante sentidos que no sean mágicos.

Mientras estés fundido con la piedra, no puedes ver lo que

sucede fuera y tienes desventaja en las pruebas de Sabiduría

(Percepción) que hagas para escuchar sonidos en el exterior.

Eres consciente del paso del tiempo y puedes lanzar

conjuros sobre ti. Puedes usar 1,5 m de tu movimiento

para salir de la piedra por el punto en el que entraste,

lo que pone fin al conjuro. Por lo demás, no te puedes mover

Un daño físico menor hechoa la piedra no te afecta, pero

su destrucción parcial o un cambio en su forma (de manera

que ya no quepas en ella) te expulsa y te causa 6d6 de

daño de fuerza. La destrucción completa de la piedra

(o su transmutación en una sustancia distinta) te expulsa

de ella y te inflige 50 de daño de fuerza. Si eres expulsado

te mueves al espacio sin ocupar más cercano junto al punto

en el que entraste en ella y tendrás el estado de derribado.",pendiente,
Geas,5,Nivel 5,Encantamiento,,1 minuto,18 m,V,30 días,"Das una orden verbal a una criatura que puedas

ver dentro del alcance y la obligas a llevar a cabo un

cometido o le impides realizar una acción o actividad,

según desees. El objetivo deberá superar una tirada de

salvación de Sabiduría o tendrá el estado de hechizado

hasta que termine el conjuro. El objetivo la superará

automáticamente si no entiende la orden.

Mientras esté hechizada, la criatura sufre 5d10 de daño

psíquico si actúa de manera contraria a tus instrucciones,

y solo podrá recibir este daño una vez al día.

Puedes dar cualquier orden que quieras, siempre que

no sea una actividad que suponga una muerte segura.

Si das una orden suicida, el conjuro termina.

Un conjuro deseo, levantar maldición o restablecimiento

mayor también pone fin a este conjuro.

Con un espacio de conjuro de nivel superior. Si usas

un espacio de niveles 7 u 8, la duración será de 365 días.

Si usas un espacio de nivel 9, el conjuro durará hasta que

se le pone fin mediante uno de los conjuros mencionados

anteriormente.",pendiente,
Glifo Custodio,3,Nivel 3,Abjuración,bardo; clérigo; mago,1 hora,Toque,"V, S, M (diamante en polvo que valga al",Hasta que sea disipado o se active,"menos 200 po, que se consume como parte del conjuro)

Inscribes un glifo que liberará posteriormente un efecto

mágico. Puedes hacerlo en una superficie (como una

mesa o un trozo de un suelo) o en un objeto que se pueda

cerrar (como un libro o un cofre) para ocultar dicho glifo.

Este puede abarcar una zona de hasta 3 m de diámetro.

Si la superficie o el objeto se mueven más de 3 m respecto

al lugar donde lanzaste el conjuro, el glifo se romperá

y el conjuro terminará sin activarse.

El glifo es casi imperceptible y es necesario superar

una prueba de Sabiduría (Percepción) contra tu CD de

salvación de conjuros para detectarlo.

Cuando inscribes el glifo, decides qué lo activa y eliges

si se trata de una runa explosiva o un glifo de conjuro,

como se explica a continuación.

.        Establecer el activador. Cuando lances el conjuro, decide

qué activará el glifo. En el caso de los glifos inscritos

en una superficie, las condiciones que suelen activarlos

incluyen tocarlos o situarse sobre ellos, quitar otro objeto

que los cubra o acercarse a cierta distancia de ellos. En el

caso de los glifos inscritos en un objeto, suelen activarse

,      al abrir el objeto o mirar el glifo. En cuanto un glifo se

activa, este conjuro termina.

Puedes especificar aún más la condición, de modo

que solo las criaturas de ciertos tipos puedan activarlo

(por ejemplo, que solo afecte a las aberraciones). También

puedes establecer excepciones sobre qué criaturas no

dín)   activarán el glifo; por ejemplo, las que pronuncien una

contraseña.

Runa explosiva. Cuando se activa, el glifo estalla con

energía mágica en una esfera de 6 m de radio centrada en

él. Todas las criaturas situadas en esa zona realizan una

tirada de salvación de Destreza. Sufrirán 5d8 de daño de

ácido, frío, fuego, relámpago o trueno (el tipo que elijas al

crear el glifo) si la fallan o la mitad del daño si la superan.

Glifo de conjuro. Puedes almacenar un conjuro

preparado de nivel 3 o inferior en el glifo si lo lanzas como

parte de la creación de dicho glifo. El conjuro debe tener

como objetivo una sola criatura o un área. El conjuro

almacenado no tiene ningún efecto inmediato cuando

se lanza de esta manera.

Cuando el glifo se activa, el conjuro almacenado surte

efecto. Si el conjuro tiene un objetivo, elige como dicho

objetivo a la criatura que haya activado el glifo. Si afecta

a un área, la zona está centrada en esa criatura. Si el

conjuro invoca criaturas hostiles o crea objetos o trampas

perjudiciales, aparecerán lo más cerca posible del intruso

y lo atacarán. Si el conjuro requiere concentración,

no terminará hasta alcanzar su duración máxima.

Con un espacio de conjuro de nivel superior. El daño

de una runa explosiva aumenta en 1d8 por cada nivel

por encima de 3 que tenga el espacio. Si creas un glifo de

conjuro, puedes almacenar cualquier conjuro de hasta el

mismo nivel que el espacio de conjuro que hayas empleado

para el glifo custodio.",pendiente,
Globo de Invulnerabilidad,6,Nivel 6,Abjuración,hechicero; mago,Acción,Lanzador,"V, S, M (una cuenta de cristal)","Concentración, hasta 1 minuto","Una barrera inmóvil y brillante surge en una emanación

de 3 m alrededor de ti y permanece hasta que el conjuro

termine.

Cualquier conjuro de nivel 5 o inferior que se lance

desde fuera de la barrera no puede afectar a nada dentro

de ella. Tales conjuros pueden hacer objetivo a criaturas

y objetos que estén dentro de la barrera, pero no tendrán

ningún efecto sobre ellos. De forma similar, el interior de

la barrera estará excluido de las áreas de efecto creadas

por dichos conjuros.

Con un espacio de conjuro de nivel superior. La barrera

bloquea los conjuros de un nivel más por cada nivel por

encima de 6 que tenga el espacio.",pendiente,
Golpe Apresador,1,Nivel 1,Conjuración,explorador,"Acción adicional, que realizas",Lanzador,V,"Concentración, hasta 1 minuto","de inmediato tras acertar a una criatura con un arma

Al acertar al objetivo, unas enredaderas aparecerán

sobre él y deberá hacer una tirada de salvación de Fuerza.

Las criaturas Grandes o de mayor tamaño tienen ventaja

en esta tirada. Si la falla, tendrá el estado de apresado

hasta que el conjuro termine. Si la supera, las enredaderas

se marchitan y el conjuro termina.

Mientras esté apresado, el objetivo sufrirá 1d6 de

daño perforante al principio de cada uno de sus turnos.

El objetivo o una criatura a su alcance puede emplear

una acción para hacer una prueba de Fuerza (Atletismo)

contra tu CD de salvación de conjuros. Si la supera,

el conjuro termina.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d6 por cada nivel por encima de 1 que tenga

el espacio.",pendiente,
Golpe de Viento Acerado,5,Nivel 5,Conjuración,explorador; mago,Acción,9 m,"S, M (un arma cuerpo a cuerpo que valga",Instantáneo,"al menos 1 pp)

Blandes el arma utilizada al lanzar el conjuro y luego

desapareces para golpear como el viento. Elige hasta

cinco criaturas que puedas ver dentro del alcance. Haz un

ataque de conjuro cuerpo a cuerpo contra cada objetivo.

Si acierta, el objetivo recibe 6d10 de daño de fuerza.

A continuación, te teletransportas a un espacio sin

ocupar que puedas ver a 1,5 m de uno de los objetivos.",pendiente,
Golpe Flamígero,5,Nivel 5,Evocación,clérigo,Acción,18 m,"V, S, M (una pizca de azufre)",Instantáneo,"Una columna de fuego brillante ruge desde el cielo.

Todas las criaturas en un cilindro de 3 m de radio y 12 m

de altura centrado en un punto dentro del alcance realizan

una tirada de salvación de Destreza; sufrirán 5d6 de daño

de fuego y 5d6 de daño radiante si la fallan o la mitad de

daño si la superan.

Con un espacio de conjuro de nivel superior. El daño

de fuego y radiante aumentan en 1d6 por cada nivel por

encima de 5 que tenga el espacio.",pendiente,
Grasa,1,Nivel 1,Conjuración,hechicero; mago,Acción,18 m,"V, S, M (un poco de piel de cerdo",1 minuto,"o de mantequilla)

Una grasa no inflamable cubre una zona cuadrada del

suelo de 3 m de lado centrada en un punto dentro del

alcance y que la convierte en terreno difícil hasta que

termina el conjuro.

Cuando aparezca la grasa, las criaturas que haya en esa

zona deberán superar una tirada de salvación de Destreza

o tendrán el estado de derribadas. Una criatura que entre

en la zona o termine su turno ahí deberá superar esa

tirada de salvación o caerá derribada.",pendiente,
Guarda Contra la Muerte,4,Nivel 4,Abjuración,clérigo; paladín,Acción,Toque,"V, S",8 horas,"Tocas a una criatura y le concedes cierta protección frente

a la muerte. La primera vez que los puntos de golpe del

objetivo fueran a reducirse a O antes de que el conjuro

termine, en lugar de eso, se reducena 1 y el conjuro

termina.

Si el conjuro sigue activo cuando el objetivo sufre un

efecto que fuera a matarlo al instante sin causarle daño,

se niega ese efecto y el conjuro termina.",pendiente,
Guardas y Guardias,6,Nivel 6,Abjuración,bardo; mago,1 hora,Toque,"V, S, M (una vara de plata que valga",24 horas,"al menos 10 po)

Creas una protección que cubre hasta 250 m? de espacio

en el suelo. La zona protegida puede tener hasta 6 m

de altura y le das la forma de una zona cuadrada de

15 m de lado, cien cuadrados contiguos de 1,5 m de lado

o veinticinco cuadrados contiguos de 3 m de lado.

Cuando lances el conjuro, puedes especificar criaturas

individuales que no se verán afectadas por los efectos

del conjuro. También puedes designar una contraseña

que, cuando se diga en alto a 1,5 m o menos de la zona

protegida, hace inmune a sus efectos a quien la dice.

O

Una CLÉRIGA MEDIANA LANZA GUARDIÁN DE:

LA FE PARA REPELER A UN HUARGO VORAZ.

El conjuro crea los efectos indicados a continuación

en la zona protegida. Disipar magia no tiene efecto

sobre guardas y guardias, pero sí que se pueden disipar

los siguientes efectos. Si se disipan los cuatro, guardas

y guardias terminará. Si lanzas el conjuro a diario durante

365 días en la misma zona, el conjuro durará hasta que

se disipen todos sus efectos.

Escaleras. Todas las escaleras de la zona protegida se

llenan de telas de araña de arriba abajo, como si estuvieran

afectadas por el conjuro telaraña. Mientras dure guardas

y guardias, estas telas de araña vuelven a generarse en un

plazo de 10 minutos si se destruyen.

Pasillos. Todos los pasillos protegidos se llenan de

niebla y pasan a estar muy oscuros. Además, en cada

intersección o en cada camino que se divida y que permita

elegir una dirección, hay un 50 % de probabilidad de que

una criatura que no seas tú piense que va en la dirección

contraria a la que haya elegido.

Puertas. Todas las puertas de la zona protegida están

cerradas de manera mágica, como si estuvieran afectadas

por el conjuro cerradura arcana. Además, puedes cubrir

hasta 10 puertas con una ilusión para que parezcan

simples secciones de pared.

Otro efecto del conjuro. Sitúas uno de los siguientes

efectos mágicos dentro de la zona protegida:

+ Luces danzantes en cuatro pasillos con un patrón sencillo

que las luces reproducirán mientras dure guardas

y guardias.

+ Boca mágica en dos lugares.

+ Nube apestosa en dos lugares (los vapores volverán

tras 10 minutos si se dispersan mientras dure guardas

y guardias).

+ Ráfaga de viento en un pasillo o sala (el viento sopla sin

parar mientras dure el conjuro).

+ Sugestión en una casilla de 1,5 m de lado, y cualquier

criatura que entre en ella recibirá la sugestión

mentalmente.",pendiente,
Guardia de Cuchillas,0,Truco,Abjuración,bardo; brujo; hechicero; mago,Acción,Lanzador,"V, S","Concentración, hasta 1 minuto","Siempre que una criatura haga una tirada de ataque

contra ti antes de que el conjuro termine, el atacante

restará 1d4 a esa tirada.",ok,
Guardián de la Fe,4,Nivel 4,Conjuración,clérigo,Acción,9 m,V,8 horas,"Un guardián espectral Grande aparece en un espacio

sin ocupar que puedas ver dentro del alcance y levita

sobre él hasta que termine el conjuro. El guardián ocupa

ese espacio, es invulnerable y se muestra en una forma

adecuada para tu deidad o panteón.

Cualquier enemigo que entre en un espacio a 3 m

o menos del guardián por primera vez en un turno

o empiece su turno allí hará una tirada de salvación

de Destreza; sufrirá 20 de daño radiante si la falla o la

mitad de daño si la supera. El guardián se desvanece

cuando ha causado un total de 60 de daño.",pendiente,
Guía,0,Truco,Adivinación,clérigo; druida,Acción,Toque,"V, S","Concentración, hasta 1 minuto","Tocas a una criatura voluntaria y eliges una habilidad.

Hasta que el conjuro termine, la criatura añade 1d4 a una

prueba de característica con la habilidad elegida.",ok,
Hablar con las Plantas,3,Nivel 3,Transmutación,bardo; druida; explorador,Acción,Lanzador,"V, S",10 minutos,"Insuflas una consciencia y una animación limitadas

a las plantas en una emanación inmóvil de 9 m, lo que les

otorga la capacidad de comunicarse contigo y obedecer

órdenes sencillas que les des. Puedes preguntar a las

plantas acerca de sucesos que hayan ocurrido en la zona

del conjuro durante el último día y conseguir información

sobre qué criaturas han pasado por allí, el clima y otras

circunstancias.

También puedes convertir el terreno difícil debido

al crecimiento vegetal (como matorrales y maleza) en

terreno normal hasta que termine el conjuro o puedes

convertir un terreno normal en el que haya plantas en

terreno difícil hasta que termine el conjuro.

El conjuro no permite que las plantas se liberen del

suelo y se desplacen, pero sí que pueden mover sus ramas,

zarcillos y tallos por ti.

Si hay una criatura de tipo “planta” en la zona, puedes

comunicarte con ella como si compartierais un idioma

común.

UN DRUIDA HUMANO EMPLEA

HABLAR CON LOS ANIMALES

PARA CHARLAR CON SU MEJOR

AMIGO ÚRSIDO.",rechazado,
Hablar con los Animales,1,Nivel 1,Adivinación,bardo; brujo; druida; explorador,Acción o ritual,Lanzador,"V, S",10 minutos,"Hasta que termine el conjuro, puedes comprender

y comunicarte verbalmente con bestias y usar con

ellas cualquiera de las opciones de la acción de influir.

La mayoría de bestias tienen poco que decir en

cuestiones que no tengan que ver con la supervivencia

o la compañía, pero como mínimo podrán proporcionarte

información sobre los lugares y monstruos cercanos,

incluyendo lo que hayan percibido en el último día.",pendiente,
Hablar con los Muertos,3,Nivel 3,Nigromancia,bardo; clérigo; mago,Acción,3 m,"V, S, M (incienso para quemar)",10 minutos,"Otorgas una apariencia de vida a un cadáver de tu

elección dentro del alcance para que pueda responder

a tus preguntas. El cadáver debe tener boca y el conjuro

falla si la criatura difunta era un muerto viviente cuando

falleció. El conjuro también falla si el cadáver ya ha sido

el objetivo de este conjuro en los últimos 10 días.

Hasta que el conjuro termine, puedes hacerle al cadáver

hasta cinco preguntas. Este solo sabe lo que sabía en vida,

incluidos los idiomas. Sus respuestas suelen ser breves,

crípticas o repetitivas, y no se siente obligado a darte una

respuesta verdadera si eres hostil con él o te reconoce

como un enemigo. Este conjuro no devuelve el alma de

la criatura a su cuerpo, solo anima su espíritu. Por tanto,

el cadáver no puede aprender nueva información,

no entiende nada que haya ocurrido después su muerte

y no puede especular sobre sucesos futuros.",pendiente,
Hacer Añicos,2,Nivel 2,Evocación,bardo; hechicero; mago,Acción,18 m,"V, S, M (una lasca de mica)",Instantáneo,"Un fuerte ruido surge de un punto de tu elección dentro

del alcance. Todas las criaturas situadas en una esfera de

3 m de radio centrada en ese punto hacen una tirada de

salvación de Constitución; sufrirán 3d8 de daño de trueno

si la fallan o la mitad del daño si la superan. Los autómata

tienen desventaja en esta tirada.

Los objetos no mágicos que se encuentren dentro del

área del conjuro también recibirán el daño, salvo si los

lleva o viste una criatura.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d8 por cada nivel por encima de 2 que tenga

el espacio.",pendiente,
Hallar Corcel,2,Nivel 2,Conjuración,paladín,Acción,9 m,"V, S",Instantáneo,"Invocas un ser sobrenatural que asume la forma de

un corcel fiel en un espacio sin ocupar de tu elección

dentro del alcance. La criatura utiliza el perfil del corcel

sobrenatural. Si ya tienes un corcel gracias a este

conjuro, se sustituirá por el nuevo.

El corcel se parece a un animal Grande que puedas

montar de tu elección, como un caballo, un alce, un camello

o un lobo terrible. Siempre que lances el conjuro, elige el

tipo de criatura del corcel (celestial, feérico o infernal),

lo que determinará ciertos atributos de su perfil.

Combate. El corcel se considera un aliado para tus

aliados y para ti. En combate, la criatura comparte

tu orden de iniciativa y funciona como una montura

controlada mientras vayas sobre ella (como se describe en

las normas del combate montado). Si tienes el estado de

incapacitado, su turno irá justo después del tuyo, actuará

con independencia de ti y se centrará en protegerte.

Desaparición del corcel. El corcel desaparece si sus

puntos de golpe se reducen a O o si mueres. Cuando

desaparece, deja atrás todo lo que vistiera o llevase.

Si vuelves a lanzar este conjuro, decides si invocas

al corcel que desapareció u otro distinto.

Con un espacio de conjuro de nivel superior. Usa el nivel

del espacio de conjuro para determinar el nivel del conjuro

en el perfil.

lCorceL SOBRENATURAL                                                       |

| Celestial, feérico o infernal Grande (a tu elección), neutral

| CA:10+1 por cada nivel del conjuro                                      |l

PG: 5 + 10 por cada nivel del conjuro (el corcel tiene una

cantidad de dados de golpe [d10] igual al nivel del conjuro)

| Velocidad: 18 m, volar 18 m (requiere un conjuro de nivel 4              |

o superior)

MOD.   SALV.           MOD.   SALV.             MOD.   SALV.   ll

Fue 18 +4        +4      Des 12 +1      +1      Conl4 +2         +2      l

InT    6 -2      -2      Sam 12 +l      +1      Car 8-1          -1      |

| Sentidos: Percepción pasiva 11

Idiomas: telepatía 1,5 km (solo funciona contigo)

VD: ninguno (0 PX; BC igual a tu bonificador por competencia)

| ATRIBUTOS

Vínculo vital. Cuando recuperas puntos de golpe mediante

un conjuro de nivel 1 o superior, el corcel recupera la misma |

cantidad de puntos de golpe si estás a 1,5 m o menos de él. |

s   | ACCIONES

Golpetazo sobrenatural. Tirada de ataque cuerpo a cuerpo:                 l

bonificador igual a tu modificador de ataque de conjuros,                 |

alcance 1,5 m. Acierto: 1d8 más el nivel de daño radiante                 |

(celestial), psíquico (feérico) o necrótico (infernal).

ACCIONES ADICIONALES

| Mirada siniestra (solo infernal; se recarga tras un descanso

largo). Tirada de salvación de Sabiduría: CD igual a tu CD

de salvación de conjuros, una criatura a 18 m o menos

que el corcel pueda ver. Fallo: El objetivo tiene el estado

| de asustado hasta el final de tu siguiente turno.                         l

| Paso feérico (solo feérico; se recarga tras un descanso largo). l

El corcel se teletransporta, junto con su jinete, a un espacio |

sin ocupar de tu elección a 18 m o menos del corcel.

Toque sanador (solo celestial; se recarga tras un descanso                |

largo). Una criatura a 1,5 m o menos del corcel recupera

una cantidad de puntos de golpe igual a 2d8 más el nivel

| del conjuro.",pendiente,
Hambre de Hadar,3,Nivel 3,Conjuración,brujo,Acción,45 m,"V, S, M (un tentáculo en salmuera)","Concentración, hasta 1 minuto","Abres un portal al Reino Lejano, una región infestada

de horrores ignotos. Aparece una esfera de oscuridad

de 6 m de radio centrada en un punto dentro del alcance

y que permanece hasta que el conjuro termine. La esfera

se considera terreno difícil y está llena de susurros

extraños y sonidos de succión, audibles a 9 m de distancia.

Ninguna luz mágica u ordinaria puede iluminar la zona,

y las criaturas completamente dentro de ella tendrán el

estado de cegadas.

Cualquier criatura que comience su turno dentro de

la zona recibirá 2d6 de daño de frío. Cualquier criatura

que termine su turno dentro deberá superar una tirada

de salvación de Destreza o recibirá 2d6 de daño de ácido

de unos tentáculos sobrenaturales.

Con un espacio de conjuro de nivel superior. El daño de

frío o de ácido (a tu elección) aumenta en 1d6 por cada

nivel por encima de 3 que tenga el espacio.",pendiente,
Hechizar Monstruo,4,Nivel 4,Encantamiento,,Acción,9 m,"V, S",1 hora,"Una criatura que puedas ver dentro del alcance realiza

una tirada de salvación de Sabiduría. La hace con ventaja

si está luchando contra ti o tus aliados. Si la falla, tendr

estado de hechizada hasta que el conjuro termine o hasta

que tus aliados o tú le hagáis daño. La criatura hechizada

es amistosa contigo, pero cuando el conjuro termine,

sabrá que la hechizaste.

Con un espacio de conjuro de nivel superior. Puedes

hacer objetivo a una criatura adicional por cada nivel

por encima de 4 que tenga el espacio.

AL INSACIABLE HAMBRE DE ÍADAR.",pendiente,
Hechizar Persona,1,Nivel 1,Encantamiento,bardo; brujo; druida; hechicero; mago,Acción,Toque,"V, S","Concentración, hasta 1 minuto","Un humanoide que puedas ver dentro del alcance realiza

una tirada de salvación de Sabiduría. La hace con ventaja

si está luchando contra ti o tus aliados. Si la falla, tendrá el

ago)   estado de hechizado hasta que el conjuro termine o hasta

que tus aliados o tú le hagáis daño. La criatura hechizada

es amistosa contigo, pero cuando el conjuro termine,

sabrá que la hechizaste.

Con un espacio de conjuro de nivel superior. Puedes

hacer objetivo a una criatura adicional por cada nivel

por encima de 1 que tenga el espacio.

á el

HEroÍSMO

Encantamiento de nivel 1 (bardo, paladín)

Insuflas valor a una criatura voluntaria a la que toques.

Hasta que el conjuro termine, la criatura es inmune al

estado de asustada y obtiene una cantidad de puntos

de golpe temporales igual a tu modificador por aptitud

mágica al principio de cada uno de sus turnos.

Con un espacio de conjuro de nivel superior. Puedes

hacer objetivo a una criatura adicional por cada nivel

por encima de 1 que tenga el espacio.",pendiente,
Hoja de Fuego,2,Nivel 2,Evocación,druida; hechicero,Acción adicional,Lanzador,"V, S, M (una hoja de zumaque)","Concentración, hasta 10 minutos","Haces aparecer una hoja ardiente en tu mano libre que es

similar en tamaño y forma a una cimitarra y que durará

hasta que termine el conjuro. Si sueltas la hoja, desaparece

pero puedes volver a invocarla como acción adicional.

Como acción de magia, puedes hacer un ataque de

conjuro cuerpo a cuerpo con la hoja ardiente. Si acierta,

el objetivo sufrirá una cantidad de daño de fuego igual

a 3d6 más tu modificador por aptitud mágica.

La hoja llameante emite luz brillante en un radio de

y luz tenue 3 m más allá.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d6 por cada nivel por encima de 2 que tenga

el espacio.",pendiente,
Identificar,1,Nivel 1,Adivinación,bardo; mago,1 minuto o un ritual,Toque,"V, S, M (una perla que valga al menos 100 po)",Instantáneo,"Tocas un objeto durante el lanzamiento del conjuro. Si se

trata de un objeto mágico de un objeto imbuido de magia,

averiguarás sus propiedades y cómo usarlas, si hace falta

sintonizarse con él y cuántas cargas tiene, si corresponde.

Si hay conjuros activos que afecten al objeto, sabrás cuáles

son. Si el objeto se creó mediante un conjuro, averiguarás

su nombre.

Si tocas a una criatura en lugar de un objeto, averiguarás

qué conjuros activos le afectan en ese momento, si hay

alguno.",pendiente,
Ilusión Menor,0,Truco,Ilusionismo,bardo; brujo; hechicero; mago,Acción,9 m,"S, M (un poco de vellón)",1 minuto,"Creas un sonido o una imagen de un objeto situado dentro

del alcance que permanecerá hasta que termine el conjuro.

Consulta las descripciones a continuación para conocer sus

efectos. La ilusión termina si lanzas el conjuro de nuevo.

Si una criatura emplea su acción de estudiar para

examinar la imagen o el sonido, puede determinar que

es una ilusión si supera una prueba de Inteligencia

(Investigación) contra tu CD de salvación de conjuros.

Si la criatura descubre que se trata de una ilusión, esta se

irá desvaneciendo para esa criatura.

Sonido. Si creas un sonido, su volumen se situará

entre el de un susurro y el de un grito. Puede ser tu voz,

la de otra criatura, el rugido de un león, un redoblar de

tambores o cualquier otro sonido que elijas. El sonido

continúa incesante mientras dure el conjuro o puedes

originar sonidos distintos en diferentes momentos antes

del fin del conjuro.

Imagen. Si creas la imagen de un objeto (como una silla,

pisadas embarradas o un pequeño cofre), no podrá ser

mayor que un cubo de 1,5 m de lado. La imagen no puede

generar sonido, luz, olor o cualquier otro efecto sensorial.

La interacción física con la imagen revela que es una

ilusión, ya que las cosas pueden atravesarla.

,",rechazado,
Ilusión Programada,6,Nivel 6,Ilusionismo,bardo; mago,Acción,36 m,,Instantáneo,"Hasta que sea disipado 3m   Componentes: V, S, M (polvo de jade con un valor de al menos 25 po) Creas una ilusión de un objeto, una criatura u otro tipo de fenómeno visible dentro del alcance que se activa cuando se produce una condición específica. Hasta entonces, la ilusión es imperceptible. No puede tener un tamaño mayor que un cubo de 9 m de lado y, cuando lanzas el conjuro, tú decides cómo se comporta y el sonido que emite. Esta actuación programada puede durar hasta 5 minutos. Cuando se produzca la condición especificada, la ilusión se activará y actuará de la manera que hayas descrito. En cuanto finalice su actuación, desaparecerá y permanecerá inactiva durante 10 minutos, tras lo cual podrá volver a activarse la ilusión. La condición puede ser tan genérica o detallada como quieras, aunque debe basarse en fenómenos visuales o audibles que se produzcan a 9 m o menos del área. UN LANZADOR DE CONJUROS PODRÍA USAR ILUSIÓN PROGRAMADA PARA QUE APARETCA UN PERRO GUARDIÁN Y LES PIDA AMABLEMENTE A LOS INTRUSOS QUE SE VAYAN IMAGEN SILENCIOSA PUEDE CREAR ILUSIONES MUNDANAS O EXTRAVAGANTES. Por ejemplo, podrías crear una ilusión de ti para que aparezca y avise a quienes intenten abrir una puerta con trampa. La interacción física con la imagen revela que es una ilusión, ya que las cosas pueden atravesarla. Si una criatura emplea una acción de estudiar para examinar la imagen, puede determinar que es una ilusión si supera una prueba de Inteligencia (Investigación) contra tu CD de salvación de conjuros. Si la criatura descubre que la imagen es una ilusión, no se dejará engañar por ella y lo sonidos que emita le sonarán huecos.",pendiente,
Imagen Mayor,3,Nivel 3,Ilusionismo,bardo; brujo; hechicero; mago,Acción,36 m,"V, S, M (un poco de vellón)","Concentración, hasta 10 minutos","Creas una imagen de un objeto, una criatura u otro tipo

de fenómeno visible cuyas dimensiones no excedan las

de un cubo de 6 m de lado. La imagen aparece en un sitio

que puedas ver dentro del alcance y se mantiene hasta

que termine el conjuro. Parece real e incluye sonidos,

olores y temperatura apropiados para lo que se representa

pero no puede hacer daño ni provocar estados.

Si estás dentro del alcance de la ilusión, puedes utili

una acción de magia para moverla a otro sitio dentro

de dicho alcance. Al cambiarla de sitio, puedes alterar

su apariencia de forma que sus movimientos parezcan

naturales. Por ejemplo, si creas la imagen de una criatur

y la mueves, puedes alterarla de forma que parezca estar

andando. De forma similar, puedes hacer que la ilusión

produzca distintos sonidos en diferentes momentos

e incluso mantener una conversación, por ejemplo.

La interacción física con la imagen revela que es una

ilusión, ya que las cosas pueden atravesarla. Si una

criatura emplea una acción de estudiar para examinar

la imagen, puede determinar que es una ilusión si supera

una prueba de Inteligencia (Investigación) contra tu CD

de salvación de conjuros. Si la criatura descubre que la

imagen es una ilusión, no se dejará engañar por ella y sus

otras cualidades sensoriales se irán desvaneciendo para

esa criatura.

Con un espacio de conjuro de nivel superior. El conjuro

durará hasta que sea disipado y no requerirá concentración

si se lanza con un espacio de conjuro de nivel 4 o superior.",pendiente,
